"","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"4065","04/20/2013","4:09:00","MANHATTAN",34,0,"BAR/NIGHT CLUB","false","25-44","M","WHITE","25-44","M","BLACK HISPANIC","1006233","253436",40.8622788590001,-73.920527341,"POINT (-73.92052734099997 40.86227885900007)"
"4067","03/20/2015","18:05:00","BROOKLYN",68,0,"PVT HOUSE","false","<18","M","WHITE","<18","F","WHITE","982540","166343",40.623257633,-74.0061613839999,"POINT (-74.00616138399994 40.62325763300004)"
"4072","12/12/2010","4:10:00","BROOKLYN",90,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","18-24","M","BLACK HISPANIC","998647","198407",40.711254637,-73.948070577,"POINT (-73.94807057699995 40.711254637000025)"
"4073","10/01/2012","20:36:00","BRONX",52,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","45-64","M","BLACK","1017731","261744",40.885045629,-73.878917686,"POINT (-73.87891768599997 40.885045629000054)"
"4079","07/03/2007","1:03:00","BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1000876","191779",40.6930584250001,-73.9400468009999,"POINT (-73.94004680099994 40.69305842500006)"
"4084","08/07/2006","22:06:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","18-24","M","BLACK","999849","193276",40.6971692120001,-73.943746775,"POINT (-73.94374677499997 40.69716921200006)"
"4085","04/28/2016","4:14:00","BRONX",46,0,"MULTI DWELL - APT BUILD","true","25-44","M","BLACK","25-44","M","WHITE HISPANIC","1013724","253001",40.8610630850001,-73.893447414,"POINT (-73.893447414 40.86106308500007)"
"4095","05/23/2007","22:25:00","BROOKLYN",88,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK","989561","192267",40.694411894,-73.9808491809999,"POINT (-73.98084918099994 40.69441189400004)"
"4099","02/25/2012","0:50:00","QUEENS",113,0,"MULTI DWELL - APT BUILD","false","<18","M","BLACK","18-24","M","BLACK","1042275","185994",40.677005369,-73.790808979,"POINT (-73.79080897899996 40.67700536900003)"
"4100","01/26/2009","3:12:00","BROOKLYN",83,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","18-24","F","BLACK","1006477","190438",40.689365396,-73.919853594,"POINT (-73.91985359399997 40.68936539600002)"
"4116","12/02/2006","1:16:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","25-44","M","BLACK","1000919","195652",40.7036888260001,-73.939882154,"POINT (-73.93988215399997 40.70368882600008)"
"4125","09/11/2011","4:14:00","MANHATTAN",26,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","WHITE HISPANIC","18-24","F","BLACK","995653","236117",40.814763236,-73.9588061549999,"POINT (-73.95880615499993 40.81476323600003)"
